ID,TEXT,LABEL
1130,"Phobar had a better view of the flame-path, and it was with growing awe that he watched that strange swathe in the sky during the dead of night. It shot out from the dark star like a colossal beam or huge pillar of fire seeking a food of worlds. With a shiver of cold fear he saw that there were now three of the bands: one toward Neptune, one toward Saturn, and one toward the sun. The first was fading, a milky, misty white; the second shone almost as bright as the first one previously had; and the third, toward the sun, was a dazzling stream of orange radiance, burning with a steady, terrible, unbelievable intensity across two and a half billions of miles of space! That gigantic flare was the most brilliant sight in the whole night sky, an awful and abysmally prophetic flame that made city streets black with staring people, a radiance whose grandeur and terrific implication of cosmic power brought beauty and the fear of doom into the heavens! Those paths could not be explained by all the physicists and all the astronomers in the Five World Federation. They possessed the properties of light, but they were rigid bands like a tube or a solid pillar from which only the faintest of rays escaped; and they completely shut off the heavens behind them. They had, moreover, singular properties which could not be described, as if a new force were embodied in them. Hour after hour humanity watched the spectacular progress of the dark star, watched those mysterious and threatening paths of light that flowed from the invader. [SNIPPET] ""See? Five minutes before I shall place it there, it is there!"" His other colleague frowned at the cube. "" But,"" he said, ""what if, now that it has already appeared five minutes before you place it there, you should change your mind about doing so and not place it there at three o'clock? Wouldn't there be a paradox of some sort involved?"" ""An interesting idea,"" Professor Johnson said. "" I had not thought of it, and it will be interesting to try.",0
1439,"The absence of gravity didn't help. He thrashed about futilely. But at last, almost by accident, his feet touched a metal support beam, and he pushed himself toward Sheilah. He grabbed her around the waist with one arm and with his free hand pulled both of them through the door. It seemed a long, long time before he got Sheilah to the reconnaissance ship. By then the twenty minutes were up. His life was going into overtime. [SNIPPET] ""But ... can we lay no groundwork sooner than that? Sometime in the foreseeable future, at least! Take it up with Propaganda, Blauvelt! It seems to me that the briefing mentioned an indigenous race on one of these planets—"" Blauvelt dropped his eyes momentarily, equivalent in that gathering to a blush of intense embarrassment. Hennings coughed apologetically. ""Well, now, I should not pry into arrangements I must later be able to deny convincingly with a clear conscience. I can only plead, my dear Blauvelt, the tenseness of the past several days."" The officer murmured inaudibly, fumbled with his papers, and edged to the rear rank.",0
813,"He passed several guarded points before the path rose steeply and he passed through the final gate into the palace itself. A Nepthalim passed him hurriedly and Damis plucked at his robe. ""I am just from outpost,"" he said. "" What news of Tubain?"" [SNIPPET] But she would not be restrained. Her surcharged heart must overflow in confidence.  “Monsieur, for what befell I am greatly at fault. This man—this Levasseur....”  He stared, incredulous in his turn. “ My God!",0
885,"""Henry ..."" They laughed together. Henry wanted to tell her what he knew as bitterly and maliciously as possible, but he simply opened his mouth a few times. He couldn't say it. Everyone is entitled to an illusion and this was Phoebe, his blonde wench, his wife, his woman. He looked a bit sick. She smiled. "" Come into the dining room."" [SNIPPET] There is no passing through the crater lake region on foot. We must travel south along the edge of the mountain area until we do find a scalable way into the preserve region."" ""You seem very certain we are not going to be rescued if we stay right here,"" Tau observed. "" Why?"" ""Because I'm inclined to believe that any flitter that tries to reach us may run into the same trouble. Also, they have no com fix on us. It will be at least a day or more before they will even begin to count us missing, and then they will have the whole northern portion of the preserve to comb; [Pg 29]there are not enough men here—I can give you a multitude of reasons, Medic."" ""One of which might be sabotage?""",0
776,"Pluralism is a merciful narcotic. Elaine de Frey sat at ease—at bodily ease—at any rate—in a low wicker chair placed under the shade of a group of cedars in the heart of a stately spacious garden that had almost made up its mind to be a park. The shallow stone basin of an old fountain, on whose wide ledge a leaden-moulded otter for ever preyed on a leaden salmon, filled a conspicuous place in the immediate foreground. Around its rim ran an inscription in Latin, warning mortal man that time flows as swiftly as water and exhorting him to make the most of his hours; after which piece of Jacobean moralising it set itself shamelessly to beguile all who might pass that way into an abandonment of contemplative repose. On all sides of it a stretch of smooth turf spread away, broken up here and there by groups of dwarfish chestnut and mulberry trees, whose leaves and branches cast a laced pattern of shade beneath them. [SNIPPET] An insignificant sum. While he, Cornelius, who had to remain behind, was absolutely courting death by this proof of devotion to Mr. Stein’s young friend. The sight of his abject grimacing was—Jim told me—very hard to bear: he clutched at his hair, beat his breast, rocked himself to and fro with his hands pressed to his stomach, and actually pretended to shed tears. “ Your blood be on your own head,” he squeaked at last, and rushed out. It is a curious question how far Cornelius was sincere in that performance.",0
501,"Who else in any world would stand up for you?"" ""I should think you'd have given up by now. Not that I mind having you around, of course,"" Gabriel added too quickly. "" You do come in useful at times, you know."" ""So you don't mind having me around?"" The nondescript man smiled again. "" Then what are you running from, if not me? [SNIPPET] Immortality! ""Then I won't need you any more,"" Boyle said, and rayed him down. "" Nor these other two."" Locke, characteristically, sprang up and tried to shield Moira with his own body. "" Boyle, what are you thinking of?",0
1174,"Allowing for the common demands of the game, Mr. Wickham was therefore at leisure to talk to Elizabeth, and she was very willing to hear him, though what she chiefly wished to hear she could not hope to be told, the history of his acquaintance with Mr. Darcy. She dared not even mention that gentleman. Her curiosity however was unexpectedly relieved. Mr. Wickham began the subject himself. He inquired how far Netherfield was from Meryton; and, after receiving her answer, asked in an hesitating manner how long Mr. Darcy had been staying there. ""About a month,"" said Elizabeth; and then, unwilling to let the subject drop, added, ""He is a man of very large property in Derbyshire, I understand."" ""Yes,"" replied Wickham;—""his estate there is a noble one. [SNIPPET] Extreme was my disappointment at understanding the true purport of her discourse. I knew not what course to take: The superstition of the Parents of Agnes, aided by her Aunt’s unfortunate passion, seemed to oppose such obstacles to our union as were almost insurmountable.  As I past by a low parlour, whose windows looked into the Garden, through the door which stood half open I observed Agnes seated at a Table. She was occupied in drawing, and several unfinished sketches were scattered round her. I entered, still undetermined whether I should acquaint her with the declaration of the Baroness.  “Oh! is it only you?” said She, raising her head; “You are no Stranger, and I shall continue my occupation without ceremony. Take a Chair, and seat yourself by me.”",0
41,"His trained memory told him, in answer to a fleeting question, that according to the latest figures eighteen-point-three percent of the world's food supply was now being derived from modified strains of seaweed. The percentage would increase rapidly, he knew. Elsewhere were mineral-extracting plants, fishery bases, experimental and pure-research stations. Below the floating city, digging into the continental shelf, was the underwater settlement—oil wells to supplement the industrial synthesizing process, mining, exploration in tanks to find new resources, a slow growth outward as men learned how to go deeper into cold and darkness and pressure. It was expensive but an over-crowded world had little choice. Venus was already visible, low and pure on the dusking horizon. Dalgetty breathed the wet pungent sea-air into his lungs and thought with some pity of the men out there—and on the Moon, on Mars, between worlds. [SNIPPET] That's him, face him, concentrate on him...."" ""What do you...?"" Tel began. ""You ride along with me, kids,"" Arkor said, only he didn't move. Two of the figures had fallen now, but the middle one was running toward them. The torch hit, and his shadow was suddenly flung across the broken earth to meet them. The green of beetles' wings ... the red of polished carbuncle ... a web of silver fire, and through the drifting blue smoke Jon hurled across the sky.",0
265,"Let's get married before we leave."" He held her away from him so he could look at her. "" But you had wished to be married on Earth,"" he said bewilderedly. ""I know, but I've changed my mind. I want it here, now. Oh, Greg, I'm afraid...."" His big russet eyes narrowed, his high-winged nostrils flared, scenting danger. "" [SNIPPET] Its shimmering blue framework was flickering. Judith had not lied then: the field was dying out. He locked the back door behind him, walked sadly through the dark and empty house and let himself out the front door. He locked the front door behind him, too, and went down the walk and climbed into his car. He had thought he had locked it, but apparently he hadn't.",0
388,"""I've been keeping my eye on you,"" Mr. Perkins said. "" I'll see what I can do."" George thanked him profusely. ""Not at all, not at all,"" Mr. Perkins boomed. "" That's what old dad Perkins is here for."" George got his coffee and joined Charlie at their corner table. [SNIPPET] ""We couldn't hear any shouts, of course, not that far away and with all the noise,"" said Dan Weaver, Mayor of Carlsbad. "" But we knew there were people down there. When the water hit the cliffs, it was like a collision between two solid bodies. We couldn't see for over an hour, because of the spray."" Salt spray. The ocean had come to New Mexico. The cliffs proved to be the only effective barrier against the westward march of the water, which turned north, gouging out lumps of rock and tumbling down blocks of earth onto its own back.",0
991,"It attacked my brain, among other things. And it was inoperable. It looked as if I had only a couple of years before deterioration of my mental powers set in, and then it would be the scrap heap for me. But I didn't give up. By that time, I had gotten used to the parts-replacement program. [SNIPPET] ""I see Daddy! He just came over the hill. He's running! Can I go meet him, Mommie?"" ""No, dear. It's too far."" Too far.",0
